crop_code,unit_cd,mean_cf_nat,mean_cf1,mean_cf2,mean_cf3,mean_cf4,mean_cf6,mean_cf7,mean_cf12,mean_cf99,note

1. BARLEY,1. Kilogram,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,

1. BARLEY,2. Gram,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,

1. BARLEY,3. Quintal,,,,,,,,,,

1. BARLEY,8. Jog,0.8309999704360962,0.7549999952316284,0.8309999704360962,0.8199999928474426,0.8899999856948853,0.8309999704360962,0.8130000233650208,0.8309999704360962,0.8299999833106995,

1. BARLEY,21. Akumada/Dawla/Lekota Small,25.26499938964844,25.593000411987305,24.280000686645508,25.26499938964844,25.26499938964844,25.26499938964844,25.26499938964844,25.26499938964844,25.26499938964844,

1. BARLEY,22. Akumada/Dawla/Lekota Large,49.75,41.5,49.75,58.0,49.75,49.75,49.75,49.75,49.75,

1. BARLEY,31. Birchiko Small,0.1220000013709068,0.1220000013709068,0.1220000013709068,0.1220000013709068,0.1220000013709068,0.1220000013709068,0.1220000013709068,0.1220000013709068,0.1220000013709068,

1. BARLEY,32. Birchiko Medium,0.1949999928474426,0.1949999928474426,0.1949999928474426,0.1949999928474426,0.209999993443489,0.1949999928474426,0.1899999976158142,0.1949999928474426,0.1949999928474426,

1. BARLEY,33. Birchiko Large,0.2339999973773956,0.2339999973773956,0.2339999973773956,0.2339999973773956,0.2339999973773956,0.2339999973773956,0.2339999973773956,0.2339999973773956,0.2339999973773956,

1. BARLEY,81. Joniya/Kasha Small,27.93099975585937,25.75,28.75,29.5629997253418,27.22900009155273,30.5,27.93099975585937,27.93099975585937,27.93099975585937,

1. BARLEY,82. Joniya/Kasha Medium,57.48799896240234,49.5,53.66699981689453,56.709999084472656,64.80000305175781,57.48799896240234,61.52799987792969,57.48799896240234,57.48799896240234,

1. BARLEY,83. Joniya/Kasha Large,,,,,,,,,,

1. BARLEY,92. Kerchat/Kemba Medium,20.850000381469727,20.850000381469727,20.850000381469727,20.850000381469727,20.850000381469727,20.850000381469727,20.850000381469727,20.850000381469727,20.850000381469727,

1. BARLEY,101. Kubaya/Cup Small,0.2140000015497207,0.2140000015497207,0.2140000015497207,0.1850000023841858,0.2029999941587448,0.2140000015497207,0.221000000834465,0.2140000015497207,0.2140000015497207,

1. BARLEY,102. Kubaya/Cup Medium,0.2919999957084656,0.3300000131130218,0.2549999952316284,0.2549999952316284,0.2919999957084656,0.2919999957084656,0.277999997138977,0.2919999957084656,0.2919999957084656,

1. BARLEY,103. Kubaya/Cup Large,0.5479999780654907,0.5479999780654907,0.5479999780654907,0.5479999780654907,0.44200000166893,0.4629999995231628,0.6269999742507935,0.4699999988079071,0.5479999780654907,

1. BARLEY,111. Kunna/Mishe/Kefer/Enkib Small,4.827000141143799,4.135000228881836,4.75,5.373000144958496,5.232999801635742,4.827000141143799,4.827000141143799,4.827000141143799,4.827000141143799,

1. BARLEY,112. Kunna/Mishe/Kefer/Enkib Medium,8.067999839782715,7.574999809265137,7.619999885559082,8.430000305175781,8.944999694824219,8.067999839782715,8.067999839782715,8.067999839782715,6.820000171661377,

1. BARLEY,113. Kunna/Mishe/Kefer/Enkib Large,20.51099967956543,22.08799934387207,24.434999465942383,20.51099967956543,20.51099967956543,20.51099967956543,20.51099967956543,20.51099967956543,20.51099967956543,

1. BARLEY,121. Madaberia/Nuse/Shera/Cheret Small,27.93099975585937,25.75,28.75,29.5629997253418,27.22900009155273,30.5,27.93099975585937,27.93099975585937,27.93099975585937,

1. BARLEY,122. Madaberia/Nuse/Shera/Cheret Medium,57.48799896240234,49.5,53.66699981689453,56.709999084472656,64.80000305175781,57.48799896240234,61.52799987792969,57.48799896240234,57.48799896240234,

1. BARLEY,123. Madaberia/Nuse/Shera/Cheret Large,,,,,,,,,,

